solID,fb_alphas,fb_gammas,fb_thetas,tv_alphas,tv_gammas,tv_thetas,mape,nrmse,decomp.rssd,rsq_train,pos,lambda,Elapsed,ElapsedAccum,iterPar,iterNG,df.int,trial,iterations,coef0,mape.qt10,robynPareto
1_202_1,1.94152223762496,0.952631075348503,0.0447669717004381,0.185140694073285,0.786560559076264,0.0616632550894729,0,0.0556998870742591,0.330826764620768,0.942464686902158,0,119951.771565943,0.219899892807007,247.901847839356,1,202,1,1,1207,FALSE,FALSE,
1_202_2,1.96237100828397,0.96632844731556,0.00294102889755146,0.96887341731104,0.922492237881576,0.132442949864545,0,0.0355249834668919,0.141062961622015,0.97659580971762,1,99684.3642790256,0.17191481590271,248.076769828796,2,202,1,1,1208,FALSE,TRUE,17
1_202_3,1.92451990322541,0.979447753915511,0.0225872676385987,1.18706996595745,0.750992760412228,0.0829031405277323,0,0.0315451445385435,0.214208399046371,0.981545983917755,1,99659.0911655955,0.184916973114014,248.26268696785,3,202,1,1,1209,FALSE,TRUE,33
1_202_4,1.93667002969763,0.971728582638269,0.0117030381997206,0.83647577484648,0.970895927263354,0.141326679774775,0,0.0395745016310171,0.103866157657306,0.970955977785498,1,109390.585110009,0.200910091400146,248.464596033096,4,202,1,1,1210,FALSE,TRUE,20
1_202_5,1.96740474634762,0.99592611664258,0.0178159283847822,1.22667029471566,0.853946888227602,0.000518296781722993,0,0.0257417155638007,0.249341311044325,0.98771144476672,1,90836.7665877234,0.164927959442139,248.640515804291,5,202,1,1,1211,FALSE,TRUE,22
1_202_6,1.95511976637166,0.965909244134115,0.0151990422344287,1.111806009862,0.943231409412215,0.0358909826906852,0,0.0276311333112528,0.224289422257954,0.985841304305202,1,90818.4918339527,0.183917045593262,248.825433015823,6,202,1,1,1212,FALSE,TRUE,14
1_203_1,1.96191849095194,0.975611882340601,0.00473250414099217,1.65820067490868,0.907036041150252,0.0795343173475912,0,0.0220543082996228,0.290898341829736,0.990979871301129,1,90833.1890735367,0.154929876327515,249.207260847092,1,203,1,1,1213,FALSE,TRUE,21
1_203_2,1.97765092147409,0.978196710671378,0.00517223275082923,1.01095554054577,0.945096140056848,0.0734979222455996,0,0.0316370690219306,0.176456478146775,0.981438274944392,1,99696.8214137499,0.175921201705933,249.384181022644,2,203,1,1,1214,FALSE,TRUE,8
1_203_3,1.9989294710682,0.99421213808437,0.0133600113608947,1.37388131350991,0.950463763583224,0.0716444476984096,0,0.0246683962013018,0.250193670701321,0.988714841021731,1,99708.6881918927,0.142989873886108,249.528169870377,3,203,1,1,1215,FALSE,TRUE,12
1_203_4,1.99058158590508,0.965469813462153,0.00361721502207777,1.14754437253821,0.797065542225904,0.0630988358283413,0,0.02927760248082,0.200897009055013,0.984103669958891,1,90838.0351777213,0.162926912307739,249.692042827606,4,203,1,1,1216,FALSE,TRUE,7
1_203_5,1.94870049167336,0.971818278739543,0.000807719012628623,1.03107481213346,0.970663248018961,0.0836308513977965,0,0.0313104812119951,0.182907306055435,0.981819520381809,1,99682.9775137396,0.168923854827881,249.861965894699,5,203,1,1,1217,FALSE,TRUE,9
1_203_6,1.99723733906915,0.980881873196978,0.0123355017194802,1.11281105698998,0.861743463241114,0.067141967413727,0,0.0301875947751348,0.19705536832065,0.983100149039858,1,99701.3429267533,0.148933172225952,250.011898040772,6,203,1,1,1218,FALSE,TRUE,11
1_204_1,1.96001604357711,0.978986002956365,0.0115028945104069,1.21234658748483,0.985831887200184,0.00498434276145872,0,0.0242293440736264,0.253946851661767,0.989112976359927,1,90830.9575188644,0.238898992538452,250.442710876465,1,204,1,1,1219,FALSE,TRUE,16
1_204_2,1.94258663371386,0.954619483939338,0.025135387490035,0.607926891247934,0.828210187625905,0.156124435550609,0,0.0465109617721767,0.0107902961326426,0.959882257021445,1,109360.61693565,0.181910991668701,250.627619981766,2,204,1,1,1220,FALSE,TRUE,22
